날짜,검색횟수,옷종류
2017-08-01,3,니트/스웨터
2017-08-02,3,니트/스웨터
2017-08-03,3,니트/스웨터
2017-08-04,3,니트/스웨터
2017-08-05,3,니트/스웨터
2017-08-06,4,니트/스웨터
2017-08-07,3,니트/스웨터
2017-08-08,4,니트/스웨터
2017-08-09,4,니트/스웨터
2017-08-10,4,니트/스웨터
2017-08-11,4,니트/스웨터
2017-08-12,4,니트/스웨터
2017-08-13,5,니트/스웨터
2017-08-14,5,니트/스웨터
2017-08-15,7,니트/스웨터
2017-08-16,6,니트/스웨터
2017-08-17,6,니트/스웨터
2017-08-18,6,니트/스웨터
2017-08-19,6,니트/스웨터
2017-08-20,9,니트/스웨터
2017-08-21,8,니트/스웨터
2017-08-22,7,니트/스웨터
2017-08-23,8,니트/스웨터
2017-08-24,9,니트/스웨터
2017-08-25,6,니트/스웨터
2017-08-26,7,니트/스웨터
2017-08-27,10,니트/스웨터
2017-08-28,9,니트/스웨터
2017-08-29,11,니트/스웨터
2017-08-30,13,니트/스웨터
2017-08-31,12,니트/스웨터
2017-09-01,11,니트/스웨터
2017-09-02,12,니트/스웨터
2017-09-03,15,니트/스웨터
2017-09-04,15,니트/스웨터
2017-09-05,15,니트/스웨터
2017-09-06,15,니트/스웨터
2017-09-07,15,니트/스웨터
2017-09-08,13,니트/스웨터
2017-09-09,13,니트/스웨터
2017-09-10,18,니트/스웨터
2017-09-11,17,니트/스웨터
2017-09-12,17,니트/스웨터
2017-09-13,16,니트/스웨터
2017-09-14,17,니트/스웨터
2017-09-15,14,니트/스웨터
2017-09-16,16,니트/스웨터
2017-09-17,21,니트/스웨터
2017-09-18,20,니트/스웨터
2017-09-19,19,니트/스웨터
2017-09-20,20,니트/스웨터
2017-09-21,19,니트/스웨터
2017-09-22,17,니트/스웨터
2017-09-23,18,니트/스웨터
2017-09-24,22,니트/스웨터
2017-09-25,23,니트/스웨터
2017-09-26,23,니트/스웨터
2017-09-27,22,니트/스웨터
2017-09-28,20,니트/스웨터
2017-09-29,19,니트/스웨터
2017-09-30,20,니트/스웨터
2017-10-01,26,니트/스웨터
2017-10-02,25,니트/스웨터
2017-10-03,25,니트/스웨터
2017-10-04,23,니트/스웨터
2017-10-05,29,니트/스웨터
2017-10-06,33,니트/스웨터
2017-10-07,33,니트/스웨터
2017-10-08,35,니트/스웨터
2017-10-09,40,니트/스웨터
2017-10-10,35,니트/스웨터
2017-10-11,38,니트/스웨터
2017-10-12,43,니트/스웨터
2017-10-13,39,니트/스웨터
2017-10-14,40,니트/스웨터
2017-10-15,53,니트/스웨터
2017-10-16,53,니트/스웨터
2017-10-17,50,니트/스웨터
2017-10-18,51,니트/스웨터
2017-10-19,47,니트/스웨터
2017-10-20,41,니트/스웨터
2017-10-21,41,니트/스웨터
2017-10-22,54,니트/스웨터
2017-10-23,57,니트/스웨터
2017-10-24,55,니트/스웨터
2017-10-25,55,니트/스웨터
2017-10-26,51,니트/스웨터
2017-10-27,43,니트/스웨터
2017-10-28,44,니트/스웨터
2017-10-29,63,니트/스웨터
2017-10-30,73,니트/스웨터
2017-10-31,71,니트/스웨터
2017-11-01,69,니트/스웨터
2017-11-02,63,니트/스웨터
2017-11-03,55,니트/스웨터
2017-11-04,64,니트/스웨터
2017-11-05,82,니트/스웨터
2017-11-06,84,니트/스웨터
2017-11-07,78,니트/스웨터
2017-11-08,75,니트/스웨터
2017-11-09,68,니트/스웨터
2017-11-10,57,니트/스웨터
2017-11-11,64,니트/스웨터
2017-11-12,86,니트/스웨터
2017-11-13,86,니트/스웨터
2017-11-14,78,니트/스웨터
2017-11-15,76,니트/스웨터
2017-11-16,77,니트/스웨터
2017-11-17,66,니트/스웨터
2017-11-18,69,니트/스웨터
2017-11-19,99,니트/스웨터
2017-11-20,100,니트/스웨터
2017-11-21,89,니트/스웨터
2017-11-22,83,니트/스웨터
2017-11-23,79,니트/스웨터
2017-11-24,70,니트/스웨터
2017-11-25,70,니트/스웨터
2017-11-26,94,니트/스웨터
2017-11-27,90,니트/스웨터
2017-11-28,81,니트/스웨터
2017-11-29,75,니트/스웨터
2017-11-30,73,니트/스웨터
2017-12-01,68,니트/스웨터
2017-12-02,70,니트/스웨터
2017-12-03,98,니트/스웨터
2017-12-04,99,니트/스웨터
2017-12-05,95,니트/스웨터
2017-12-06,88,니트/스웨터
2017-12-07,78,니트/스웨터
2017-12-08,67,니트/스웨터
2017-12-09,69,니트/스웨터
2017-12-10,100,니트/스웨터
2017-12-11,98,니트/스웨터
2017-12-12,92,니트/스웨터
2017-12-13,86,니트/스웨터
2017-12-14,76,니트/스웨터
2017-12-15,62,니트/스웨터
2017-12-16,65,니트/스웨터
2017-12-17,93,니트/스웨터
2017-12-18,91,니트/스웨터
2017-12-19,87,니트/스웨터
2017-12-20,79,니트/스웨터
2017-12-21,68,니트/스웨터
2017-12-22,50,니트/스웨터
2017-12-23,53,니트/스웨터
2017-12-24,62,니트/스웨터
2017-12-25,78,니트/스웨터
2017-12-26,75,니트/스웨터
2017-12-27,67,니트/스웨터
2017-12-28,59,니트/스웨터
2017-12-29,48,니트/스웨터
2017-12-30,50,니트/스웨터
2017-12-31,51,니트/스웨터
2018-01-01,49,니트/스웨터
2018-01-02,50,니트/스웨터
2018-01-03,50,니트/스웨터
2018-01-04,45,니트/스웨터
2018-01-05,39,니트/스웨터
2018-01-06,43,니트/스웨터
2018-01-07,55,니트/스웨터
2018-01-08,52,니트/스웨터
2018-01-09,50,니트/스웨터
2018-01-10,48,니트/스웨터
2018-01-11,44,니트/스웨터
2018-01-12,38,니트/스웨터
2018-01-13,40,니트/스웨터
2018-01-14,52,니트/스웨터
2018-01-15,46,니트/스웨터
2018-01-16,43,니트/스웨터
2018-01-17,40,니트/스웨터
2018-01-18,35,니트/스웨터
2018-01-19,30,니트/스웨터
2018-01-20,34,니트/스웨터
2018-01-21,44,니트/스웨터
2018-01-22,41,니트/스웨터
2018-01-23,41,니트/스웨터
2018-01-24,41,니트/스웨터
2018-01-25,38,니트/스웨터
2018-01-26,32,니트/스웨터
2018-01-27,35,니트/스웨터
2018-01-28,47,니트/스웨터
2018-01-29,44,니트/스웨터
2018-01-30,41,니트/스웨터
2018-01-31,39,니트/스웨터
2018-02-01,37,니트/스웨터
2018-02-02,30,니트/스웨터
2018-02-03,34,니트/스웨터
2018-02-04,47,니트/스웨터
2018-02-05,44,니트/스웨터
2018-02-06,42,니트/스웨터
2018-02-07,39,니트/스웨터
2018-02-08,34,니트/스웨터
2018-02-09,28,니트/스웨터
2018-02-10,28,니트/스웨터
2018-02-11,39,니트/스웨터
2018-02-12,30,니트/스웨터
2018-02-13,24,니트/스웨터
2018-02-14,21,니트/스웨터
2018-02-15,21,니트/스웨터
2018-02-16,20,니트/스웨터
2018-02-17,25,니트/스웨터
2018-02-18,34,니트/스웨터
2018-02-19,32,니트/스웨터
2018-02-20,28,니트/스웨터
2018-02-21,28,니트/스웨터
2018-02-22,25,니트/스웨터
2018-02-23,21,니트/스웨터
2018-02-24,22,니트/스웨터
2018-02-25,28,니트/스웨터
2018-02-26,28,니트/스웨터
2018-02-27,25,니트/스웨터
2018-02-28,22,니트/스웨터
2018-03-01,27,니트/스웨터
2018-03-02,23,니트/스웨터
2018-03-03,23,니트/스웨터
2018-03-04,29,니트/스웨터
2018-03-05,25,니트/스웨터
2018-03-06,23,니트/스웨터
2018-03-07,22,니트/스웨터
2018-03-08,20,니트/스웨터
2018-03-09,16,니트/스웨터
2018-03-10,18,니트/스웨터
2018-03-11,25,니트/스웨터
2018-03-12,23,니트/스웨터
2018-03-13,21,니트/스웨터
2018-03-14,18,니트/스웨터
2018-03-15,17,니트/스웨터
2018-03-16,14,니트/스웨터
2018-03-17,15,니트/스웨터
2018-03-18,21,니트/스웨터
2018-03-19,18,니트/스웨터
2018-03-20,17,니트/스웨터
2018-03-21,16,니트/스웨터
2018-03-22,14,니트/스웨터
2018-03-23,11,니트/스웨터
2018-03-24,13,니트/스웨터
2018-03-25,16,니트/스웨터
2018-03-26,15,니트/스웨터
2018-03-27,14,니트/스웨터
2018-03-28,12,니트/스웨터
2018-03-29,11,니트/스웨터
2018-03-30,9,니트/스웨터
2018-03-31,9,니트/스웨터
2018-04-01,12,니트/스웨터
2018-04-02,11,니트/스웨터
2018-04-03,10,니트/스웨터
2018-04-04,9,니트/스웨터
2018-04-05,8,니트/스웨터
